,index,country
0,United States,531
1,United Kingdom,282
2,Canada,127
3,Australia,122
4,France,94
5,Brazil,89
6,Italy,86
7,Argentina,66
8,Chile,62
9,Netherlands The,50
10,Spain,43
11,New Zealand,36
12,Denmark,33
13,Switzerland,29
14,Colombia,25
15,Germany,22
16,Belgium,22
17,Mexico,20
18,Taiwan,17
19,China,13
20,Ecuador,11
21,Peru,10
22,Portugal,9
23,Costa Rica,8
24,Japan,8
25,Sweden,7
26,Paraguay,6
27,Ireland,6
28,Hong Kong S.A.R.,6
29,Singapore,6
30,South Korea,4
31,Kenya,4
32,Guatemala,3
33,Uruguay,3
34,Turkey,3
35,Indonesia,3
36,Norway,3
37,Poland,2
38,Uganda,2
39,Tanzania,2
40,Dominican Republic,2
41,Vietnam,2
42,Bulgaria,2
43,Austria,2
44,Thailand,2
45,South Africa,1
46,Iceland,1
47,Israel,1
48,Lebanon,1
49,Hungary,1
50,Luxembourg,1
51,Bolivia,1
52,Pakistan,1
53,Slovakia,1
54,Philippines,1
55,Egypt,1
56,Belize,1
57,Liechtenstein,1
58,Sri Lanka,1
59,Greece,1
60,Panama,1
61,Russia,1
62,Cyprus,1
