,index,industry_category
0,Professional & technical services,879
1,"Information, communication & technology",414
2,Financial & insurance activities,405
3,Education,118
4,Other services,105
5,Administrative & support services,94
6,Human health & social work,77
7,"Arts, entertainment & recreation",75
8,Manufactured Goods,53
9,Retail,47
10,Wholesale,34
11,"Real estate, design & building",23
12,Accommodation & food service,15
13,Transportation & storage,9
14,Publishing - Print,8
15,Energy,6
16,"Agriculture, forestry & fishing",5
17,Construction,5
18,"Energy, Heating & Cooling",2
19,Rental & Repair,1
20,Water & Sewerage,1
